level,section_code,section_name,division_code,division_name,group_code,group_name,class_code,class_name,gb_source_row,status,notes
division,A,农、林、牧、渔业,01,农业,,,,,4,BASE_CATALOG,
group,A,农、林、牧、渔业,01,农业,011,谷物种植,,,6,BASE_CATALOG,
class,A,农、林、牧、渔业,01,农业,011,谷物种植,0111,稻谷种植,8,BASE_CATALOG,
class,A,农、林、牧、渔业,01,农业,011,谷物种植,0112,小麦种植,16,BASE_CATALOG,
class,A,农、林、牧、渔业,01,农业,011,谷物种植,0113,玉米种植,22,BASE_CATALOG,
class,A,农、林、牧、渔业,01,农业,011,谷物种植,0119,其他谷物种植,29,BASE_CATALOG,
group,A,农、林、牧、渔业,01,农业,012,豆类、油料和薯类种植,,,39,BASE_CATALOG,
class,A,农、林、牧、渔业,01,农业,012,豆类、油料和薯类种植,0121,豆类种植,40,BASE_CATALOG,
class,A,农、林、牧、渔业,01,农业,012,豆类、油料和薯类种植,0122,油料种植,53,BASE_CATALOG,
class,A,农、林、牧、渔业,01,农业,012,豆类、油料和薯类种植,0123,薯类种植,67,BASE_CATALOG,
group,A,农、林、牧、渔业,01,农业,013,棉、麻、糖、烟草种植,,,75,BASE_CATALOG,
class,A,农、林、牧、渔业,01,农业,013,棉、麻、糖、烟草种植,0131,棉花种植,76,BASE_CATALOG,
class,A,农、林、牧、渔业,01,农业,013,棉、麻、糖、烟草种植,0132,麻类种植,81,BASE_CATALOG,
class,A,农、林、牧、渔业,01,农业,013,棉、麻、糖、烟草种植,0133,糖料种植,92,BASE_CATALOG,
class,A,农、林、牧、渔业,01,农业,013,棉、麻、糖、烟草种植,0134,烟草种植,98,BASE_CATALOG,
group,A,农、林、牧、渔业,01,农业,014,蔬菜、食用菌及园艺作物种植,,,108,BASE_CATALOG,
class,A,农、林、牧、渔业,01,农业,014,蔬菜、食用菌及园艺作物种植,0141,蔬菜种植,109,BASE_CATALOG,
class,A,农、林、牧、渔业,01,农业,014,蔬菜、食用菌及园艺作物种植,0142,食用菌种植,124,BASE_CATALOG,
class,A,农、林、牧、渔业,01,农业,014,蔬菜、食用菌及园艺作物种植,0143,花卉种植,149,BASE_CATALOG,
class,A,农、林、牧、渔业,01,农业,014,蔬菜、食用菌及园艺作物种植,0149,其他园艺作物种植,160,BASE_CATALOG,
group,A,农、林、牧、渔业,01,农业,015,水果种植,,,169,BASE_CATALOG,
class,A,农、林、牧、渔业,01,农业,015,水果种植,0151,仁果类和核果类水果种植,170,BASE_CATALOG,
class,A,农、林、牧、渔业,01,农业,015,水果种植,0152,葡萄种植,181,BASE_CATALOG,
class,A,农、林、牧、渔业,01,农业,015,水果种植,0153,柑橘类种植,188,BASE_CATALOG,
class,A,农、林、牧、渔业,01,农业,015,水果种植,0154,香蕉等亚热带水果种植,199,BASE_CATALOG,
class,A,农、林、牧、渔业,01,农业,015,水果种植,0159,其他水果种植,222,BASE_CATALOG,
group,A,农、林、牧、渔业,01,农业,016,坚果、含油果、香料和饮料作物种植,,,231,BASE_CATALOG,
class,A,农、林、牧、渔业,01,农业,016,坚果、含油果、香料和饮料作物种植,0161,坚果种植,232,BASE_CATALOG,
class,A,农、林、牧、渔业,01,农业,016,坚果、含油果、香料和饮料作物种植,0162,含油果种植,250,BASE_CATALOG,
class,A,农、林、牧、渔业,01,农业,016,坚果、含油果、香料和饮料作物种植,0163,香料作物种植,258,BASE_CATALOG,
class,A,农、林、牧、渔业,01,农业,016,坚果、含油果、香料和饮料作物种植,0164,茶叶种植,264,BASE_CATALOG,
class,A,农、林、牧、渔业,01,农业,016,坚果、含油果、香料和饮料作物种植,0169,其他饮料作物种植,269,BASE_CATALOG,
group,A,农、林、牧、渔业,01,农业,017,中药材种植,,,274,BASE_CATALOG,
class,A,农、林、牧、渔业,01,农业,017,中药材种植,0171,中草药种植,275,BASE_CATALOG,
class,A,农、林、牧、渔业,01,农业,017,中药材种植,0179,其他中药材种植,281,BASE_CATALOG,
group,A,农、林、牧、渔业,01,农业,018,草种植及割草,,,284,BASE_CATALOG,
class,A,农、林、牧、渔业,01,农业,018,草种植及割草,0181,草种植,285,BASE_CATALOG,
class,A,农、林、牧、渔业,01,农业,018,草种植及割草,0182,天然草原割草,291,BASE_CATALOG,
group,A,农、林、牧、渔业,01,农业,019,其他农业,,,297,BASE_CATALOG,
class,A,农、林、牧、渔业,01,农业,019,其他农业,0190,其他农业,297,BASE_CATALOG,same_row_group_and_class
division,A,农、林、牧、渔业,02,林业,,,,,306,BASE_CATALOG,
group,A,农、林、牧、渔业,02,林业,021,林木育种和育苗,,,307,BASE_CATALOG,
class,A,农、林、牧、渔业,02,林业,021,林木育种和育苗,0211,林木育种,308,BASE_CATALOG,
class,A,农、林、牧、渔业,02,林业,021,林木育种和育苗,0212,林木育苗,316,BASE_CATALOG,
group,A,农、林、牧、渔业,02,林业,022,造林和更新,,,326,BASE_CATALOG,
class,A,农、林、牧、渔业,02,林业,022,造林和更新,0220,造林和更新,326,BASE_CATALOG,same_row_group_and_class
group,A,农、林、牧、渔业,02,林业,023,森林经营、管护和改培,,,334,BASE_CATALOG,
class,A,农、林、牧、渔业,02,林业,023,森林经营、管护和改培,0231,森林经营和管护,335,BASE_CATALOG,
class,A,农、林、牧、渔业,02,林业,023,森林经营、管护和改培,0232,森林改培,343,BASE_CATALOG,
group,A,农、林、牧、渔业,02,林业,024,木材和竹材采运,,,352,BASE_CATALOG,
class,A,农、林、牧、渔业,02,林业,024,木材和竹材采运,0241,木材采运,354,BASE_CATALOG,
class,A,农、林、牧、渔业,02,林业,024,木材和竹材采运,0242,竹材采运,365,BASE_CATALOG,
group,A,农、林、牧、渔业,02,林业,025,林产品采集,,,374,BASE_CATALOG,
class,A,农、林、牧、渔业,02,林业,025,林产品采集,0251,木竹材林产品采集,376,BASE_CATALOG,
class,A,农、林、牧、渔业,02,林业,025,林产品采集,0252,非木竹材林产品采集,381,BASE_CATALOG,
division,A,农、林、牧、渔业,03,畜牧业,,,,,395,BASE_CATALOG,
group,A,农、林、牧、渔业,03,畜牧业,031,牲畜饲养,,,397,BASE_CATALOG,
class,A,农、林、牧、渔业,03,畜牧业,031,牲畜饲养,0311,牛的饲养,398,BASE_CATALOG,
class,A,农、林、牧、渔业,03,畜牧业,031,牲畜饲养,0312,马的饲养,406,BASE_CATALOG,
class,A,农、林、牧、渔业,03,畜牧业,031,牲畜饲养,0313,猪的饲养,414,BASE_CATALOG,
class,A,农、林、牧、渔业,03,畜牧业,031,牲畜饲养,0314,羊的饲养,419,BASE_CATALOG,
class,A,农、林、牧、渔业,03,畜牧业,031,牲畜饲养,0315,骆驼饲养,431,BASE_CATALOG,
class,A,农、林、牧、渔业,03,畜牧业,031,牲畜饲养,0319,其他牲畜饲养,437,BASE_CATALOG,
group,A,农、林、牧、渔业,03,畜牧业,032,家禽饲养,,,443,BASE_CATALOG,
class,A,农、林、牧、渔业,03,畜牧业,032,家禽饲养,0321,鸡的饲养,444,BASE_CATALOG,
class,A,农、林、牧、渔业,03,畜牧业,032,家禽饲养,0322,鸭的饲养,454,BASE_CATALOG,
class,A,农、林、牧、渔业,03,畜牧业,032,家禽饲养,0323,鹅的饲养,459,BASE_CATALOG,
class,A,农、林、牧、渔业,03,畜牧业,032,家禽饲养,0329,其他家禽饲养,464,BASE_CATALOG,
group,A,农、林、牧、渔业,03,畜牧业,033,狩猎和捕捉动物,,,473,BASE_CATALOG,
class,A,农、林、牧、渔业,03,畜牧业,033,狩猎和捕捉动物,0330,狩猎和捕捉动物,473,BASE_CATALOG,same_row_group_and_class
