catalog_version,catalog_entry_no,major_category_text,industry_category_text,gb_code_fragments,condition_code_fragments,key_management_condition,simplified_management_condition,registration_management_condition,source_pdf,source_page,source_row_index,table_bbox,row_cells_bbox,extraction_method,extraction_confidence,audit_status,notes
2019,1,一、畜牧业03,牲畜饲养031，家禽饲养032,031;032,,"设有污水排放口的规模化畜禽养殖
场、养殖小区（具体规模化标准按《畜
禽规模养殖污染防治条例》执行）",/,"无污水排放口的规模化畜禽养殖场、养
殖小区，设有污水排放口的规模以下畜
禽养殖场、养殖小区",固定污染源排污许可分类管理名录(2019年版).pdf,4,2,"[46.56, 85.29, 794.78, 477.32]","[[46.55999946594238, 337.19000244140625, 794.7766723632812, 360.3900146484375], [46.55999946594238, 360.3900146484375, 80.0, 388.1400146484375], [46.55999946594238, 388.1400146484375, 794.7766723632812, 408.489990234375], [46.55999946594238, 408.489990234375, 80.0, 436.239990234375], [46.55999946594238, 436.239990234375, 794.7766723632812, 456.5899963378906]]",pymupdf_find_tables,HIGH,RAW_CONDITION_EXTRACTED_NOT_RUNTIME,
2019,2,一、畜牧业03,其他畜牧业039,039,,/,/,设有污水排放口的养殖场、养殖小区,固定污染源排污许可分类管理名录(2019年版).pdf,4,3,"[46.56, 85.29, 794.78, 477.32]","[[46.55999946594238, 456.5899963378906, 80.0, 477.3199920654297], [80.0, 85.29000091552734, 264.20001220703125, 106.13999938964844], [80.0, 126.48999786376953, 264.20001220703125, 171.44000244140625], [80.0, 171.44000244140625, 264.20001220703125, 191.7899932861328], [80.0, 214.99000549316406, 264.20001220703125, 242.74000549316406]]",pymupdf_find_tables,HIGH,RAW_CONDITION_EXTRACTED_NOT_RUNTIME,
2019,3,二、煤炭开采和洗选业06,"烟煤和无烟煤开采洗选061，褐煤开采
洗选062，其他煤炭洗选069",061;062;069,,涉及通用工序重点管理的,涉及通用工序简化管理的,其他,固定污染源排污许可分类管理名录(2019年版).pdf,4,5,"[46.56, 85.29, 794.78, 477.32]","[[264.20001220703125, 85.29000091552734, 441.25, 106.13999938964844], [264.20001220703125, 126.48999786376953, 441.25, 171.44000244140625], [264.20001220703125, 171.44000244140625, 441.25, 191.7899932861328], [264.20001220703125, 214.99000549316406, 441.25, 242.74000549316406], [264.20001220703125, 265.94000244140625, 441.25, 286.2900085449219]]",pymupdf_find_tables,HIGH,RAW_CONDITION_EXTRACTED_NOT_RUNTIME,references_general_process_109_112;registration_else_condition
2019,4,三、石油和天然气开采业07,石油开采071，天然气开采072,071;072,,涉及通用工序重点管理的,涉及通用工序简化管理的,其他,固定污染源排污许可分类管理名录(2019年版).pdf,4,7,"[46.56, 85.29, 794.78, 477.32]","[[441.25, 126.48999786376953, 618.1500244140625, 171.44000244140625], [441.25, 171.44000244140625, 618.1500244140625, 191.7899932861328], [441.25, 214.99000549316406, 618.1500244140625, 242.74000549316406], [441.25, 265.94000244140625, 618.1500244140625, 286.2900085449219], [441.25, 309.489990234375, 618.1500244140625, 337.19000244140625]]",pymupdf_find_tables,HIGH,RAW_CONDITION_EXTRACTED_NOT_RUNTIME,references_general_process_109_112;registration_else_condition
2019,5,四、黑色金属矿采选业08,"铁矿采选081，锰矿、铬矿采选082，
其他黑色金属矿采选089",081;082;089,,涉及通用工序重点管理的,涉及通用工序简化管理的,其他,固定污染源排污许可分类管理名录(2019年版).pdf,4,9,"[46.56, 85.29, 794.78, 477.32]","[[618.1500244140625, 171.44000244140625, 794.7766723632812, 191.7899932861328], [618.1500244140625, 214.99000549316406, 794.7766723632812, 242.74000549316406], [618.1500244140625, 265.94000244140625, 794.7766723632812, 286.2900085449219], [618.1500244140625, 309.489990234375, 794.7766723632812, 337.19000244140625], [618.1500244140625, 360.3900146484375, 794.7766723632812, 388.1400146484375]]",pymupdf_find_tables,HIGH,RAW_CONDITION_EXTRACTED_NOT_RUNTIME,references_general_process_109_112;registration_else_condition
2019,6,五、有色金属矿采选业09,"常用有色金属矿采选091，贵金属矿采
选092，稀有稀土金属矿采选093",091;092;093,,涉及通用工序重点管理的,涉及通用工序简化管理的,其他,固定污染源排污许可分类管理名录(2019年版).pdf,4,11,"[46.56, 85.29, 794.78, 477.32]",[],pymupdf_find_tables,HIGH,RAW_CONDITION_EXTRACTED_NOT_RUNTIME,references_general_process_109_112;registration_else_condition
2019,7,六、非金属矿采选业10,"土砂石开采101，化学矿开采102，采
盐103，石棉及其他非金属矿采选109",101;102;103;109,,涉及通用工序重点管理的,涉及通用工序简化管理的,其他,固定污染源排污许可分类管理名录(2019年版).pdf,4,13,"[46.56, 85.29, 794.78, 477.32]",[],pymupdf_find_tables,HIGH,RAW_CONDITION_EXTRACTED_NOT_RUNTIME,references_general_process_109_112;registration_else_condition
2019,8,七、其他采矿业12,其他采矿业120,120,,涉及通用工序重点管理的,涉及通用工序简化管理的,其他,固定污染源排污许可分类管理名录(2019年版).pdf,4,15,"[46.56, 85.29, 794.78, 477.32]",[],pymupdf_find_tables,HIGH,RAW_CONDITION_EXTRACTED_NOT_RUNTIME,references_general_process_109_112;registration_else_condition
2019,9,八、农副食品加工业13,谷物磨制131,131,131,/,/,谷物磨制131﹡,固定污染源排污许可分类管理名录(2019年版).pdf,5,2,"[46.56, 85.29, 794.78, 484.27]","[[80.0, 85.29000091552734, 264.20001220703125, 106.13999938964844], [80.0, 129.33999633789062, 264.20001220703125, 152.5399932861328], [80.0, 152.5399932861328, 264.20001220703125, 175.74000549316406], [80.0, 175.74000549316406, 264.20001220703125, 198.94000244140625], [80.0, 198.94000244140625, 264.20001220703125, 231.2899932861328]]",pymupdf_find_tables,HIGH,RAW_CONDITION_EXTRACTED_NOT_RUNTIME,has_asterisk_footnote_industrial_building_condition
2019,10,八、农副食品加工业13,饲料加工132,132,132,/,饲料加工132（有发酵工艺的）﹡,饲料加工132（无发酵工艺的）﹡,固定污染源排污许可分类管理名录(2019年版).pdf,5,3,"[46.56, 85.29, 794.78, 484.27]","[[80.0, 231.2899932861328, 264.20001220703125, 317.44000244140625], [80.0, 317.44000244140625, 264.20001220703125, 372.3900146484375], [80.0, 372.3900146484375, 264.20001220703125, 395.5899963378906], [80.0, 395.5899963378906, 264.20001220703125, 484.27000427246094], [264.20001220703125, 85.29000091552734, 441.25, 106.13999938964844]]",pymupdf_find_tables,HIGH,RAW_CONDITION_EXTRACTED_NOT_RUNTIME,has_asterisk_footnote_industrial_building_condition
